code,pesticide_en,pesticide_hi
D00,Copper Fungicide,ताम्र फफूंदनाशक
D01,None needed,कोई ज़रूरत नहीं
D02,Discard affected produce,प्रभावित फल हटा दें
D03,Propiconazole,प्रोपिकोनाज़ोल
D04,Captan,कैप्टान
D05,None needed,कोई ज़रूरत नहीं
D06,Discard affected produce,प्रभावित फल हटा दें
D07,None needed,कोई ज़रूरत नहीं
D08,Discard affected produce,प्रभावित फल हटा दें
D09,None needed,कोई ज़रूरत नहीं
D0A,Discard affected produce,प्रभावित फल हटा दें
D0B,Copper + Streptomycin,कॉपर + स्ट्रेप्टोमाइसिन
D0C,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D0D,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D0E,None needed,कोई ज़रूरत नहीं
D0F,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D0G,None needed,कोई ज़रूरत नहीं
D0H,Sulfur (wettable),गंधक (वेटेबल)
D0I,None needed,कोई ज़रूरत नहीं
D0J,No cure — remove plants & control insect vector,कोई इलाज नहीं — पौधे हटाएँ व वाहक कीट नियंत्रित करें
D0K,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D0L,Imidacloprid (insecticide),इमिडाक्लोप्रिड (कीटनाशक)
D0M,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D0N,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D0O,None needed,कोई ज़रूरत नहीं
D0P,Abamectin (miticide),एबामेक्टिन (माइटसाइड)
D0Q,Propiconazole,प्रोपिकोनाज़ोल
D0R,Propiconazole,प्रोपिकोनाज़ोल
D0S,Copper Oxychloride,कॉपर ऑक्सीक्लोराइड
D0T,None needed,कोई ज़रूरत नहीं
D0U,Mancozeb,मैंकोज़ेब
D0V,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D0W,None needed,कोई ज़रूरत नहीं
D0X,Discard affected produce,प्रभावित फल हटा दें
D0Y,Copper Fungicide,ताम्र फफूंदनाशक
D0Z,Copper Fungicide,ताम्र फफूंदनाशक
D10,None needed,कोई ज़रूरत नहीं
D11,Mancozeb,मैंकोज़ेब
D12,Discard affected produce,प्रभावित फल हटा दें
D13,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D14,None needed,कोई ज़रूरत नहीं
D15,Discard affected produce,प्रभावित फल हटा दें
D16,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
D17,None needed,कोई ज़रूरत नहीं
D18,None needed,कोई ज़रूरत नहीं
D19,Discard affected produce,प्रभावित फल हटा दें
D1A,Consult agricultural officer,कृषि अधिकारी से परामर्श करें
