code,canonical,crop,condition,raw_folder,n_images
D00,apple__black_rot,apple,black_rot,Apple__black_rot,489
D01,apple__healthy,apple,healthy,Apple__Healthy,460
D02,apple__rotten,apple,rotten,Apple__Rotten,614
D03,apple__rust,apple,rust,Apple__rust,357
D04,apple__scab,apple,scab,Apple__scab,502
D05,banana__healthy,banana,healthy,Banana__Healthy,601
D06,banana__rotten,banana,rotten,Banana__Rotten,625
D07,bellpepper__healthy,bellpepper,healthy,Bellpepper__Healthy,478
D08,bellpepper__rotten,bellpepper,rotten,Bellpepper__Rotten,482
D09,carrot__healthy,carrot,healthy,Carrot__Healthy,484
D0A,carrot__rotten,carrot,rotten,Carrot__Rotten,450
D0B,cassava__bacterial_blight,cassava,bacterial_blight,Cassava__bacterial_blight,445
D0C,cassava__brown_streak_disease,cassava,brown_streak_disease,Cassava__brown_streak_disease,475
D0D,cassava__green_mottle,cassava,green_mottle,Cassava__green_mottle,435
D0E,cassava__healthy,cassava,healthy,Cassava__healthy,492
D0F,cassava__mosaic_disease,cassava,mosaic_disease,Cassava__mosaic_disease,430
D0G,cherry__healthy,cherry,healthy,Cherry__healthy,534
D0H,cherry__powdery_mildew,cherry,powdery_mildew,Cherry__powdery_mildew,554
D0I,chili__healthy,chili,healthy,Chili__healthy,100
D0J,chili__leaf_curl,chili,leaf_curl,Chili__leaf_curl,98
D0K,chili__leaf_spot,chili,leaf_spot,Chili__leaf_spot,100
D0L,chili__whitefly,chili,whitefly,Chili__whitefly,99
D0M,chili__yellowish,chili,yellowish,Chili__yellowish,82
D0N,coffee__cercospora_leaf_spot,coffee,cercospora_leaf_spot,Coffee__cercospora_leaf_spot,55
D0O,coffee__healthy,coffee,healthy,Coffee__healthy,414
D0P,coffee__red_spider_mite,coffee,red_spider_mite,Coffee__red_spider_mite,166
D0Q,coffee__rust,coffee,rust,Coffee__rust,411
D0R,corn__common_rust,corn,common_rust,Corn___Common_Rust,553
D0R,corn__common_rust,corn,common_rust,Corn__common_rust,458
D0S,corn__gray_leaf_spot,corn,gray_leaf_spot,Corn___Gray_Leaf_Spot,453
D0S,corn__gray_leaf_spot,corn,gray_leaf_spot,Corn__gray_leaf_spot,309
D0T,corn__healthy,corn,healthy,Corn___Healthy,566
D0T,corn__healthy,corn,healthy,Corn__healthy,424
D0U,corn__northern_leaf_blight,corn,northern_leaf_blight,Corn___Northern_Leaf_Blight,552
D0U,corn__northern_leaf_blight,corn,northern_leaf_blight,Corn__northern_leaf_blight,428
D0V,cucumber__diseased,cucumber,diseased,Cucumber__diseased,335
D0W,cucumber__healthy,cucumber,healthy,Cucumber__healthy,821
D0X,cucumber__rotten,cucumber,rotten,Cucumber__Rotten,491
D0Y,grape__black_measles,grape,black_measles,Grape__black_measles,576
D0Z,grape__black_rot,grape,black_rot,Grape__black_rot,644
D10,grape__healthy,grape,healthy,Grape__healthy,637
D11,grape__leaf_blight_isariopsis_leaf_spot,grape,leaf_blight_isariopsis_leaf_spot,Grape__leaf_blight_(isariopsis_leaf_spot),528
D12,grape__rotten,grape,rotten,Grape__Rotten,200
D13,guava__diseased,guava,diseased,Gauva__diseased,142
D14,guava__healthy,guava,healthy,Gauva__healthy,277
D14,guava__healthy,guava,healthy,Guava__Healthy,200
D15,guava__rotten,guava,rotten,Guava__Rotten,200
D16,jamun__diseased,jamun,diseased,Jamun__diseased,345
D17,jamun__healthy,jamun,healthy,Jamun__healthy,279
D18,jujube__healthy,jujube,healthy,Jujube__Healthy,200
D19,jujube__rotten,jujube,rotten,Jujube__Rotten,200
D1A,lemon__diseased,lemon,diseased,Lemon__diseased,77
D1B,lemon__healthy,lemon,healthy,Lemon__healthy,159
D1C,mango__diseased,mango,diseased,Mango__diseased,265
D1D,mango__healthy,mango,healthy,Mango__healthy,739
D1E,mango__rotten,mango,rotten,Mango__Rotten,584
D1F,orange__healthy,orange,healthy,Orange__Healthy,598
D1G,orange__rotten,orange,rotten,Orange__Rotten,601
D1H,peach__bacterial_spot,peach,bacterial_spot,Peach__bacterial_spot,608
D1I,peach__healthy,peach,healthy,Peach__healthy,363
D1J,pepper__bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper__bell___Bacterial_spot,557
D1J,pepper__bell_bacterial_spot,pepper,bell_bacterial_spot,Pepper_bell__bacterial_spot,409
D1K,pepper__bell_healthy,pepper,bell_healthy,Pepper__bell___healthy,594
D1K,pepper__bell_healthy,pepper,bell_healthy,Pepper_bell__healthy,456
D1L,pomegranate__diseased,pomegranate,diseased,Pomegranate__diseased,272
D1M,pomegranate__healthy,pomegranate,healthy,Pomegranate__Healthy,487
D1N,pomegranate__rotten,pomegranate,rotten,Pomegranate__Rotten,200
D1O,potato__early_blight,potato,early_blight,Potato___Early_blight,807
D1O,potato__early_blight,potato,early_blight,Potato__early_blight,359
D1P,potato__healthy,potato,healthy,Potato__Healthy,642
D1Q,potato__late_blight,potato,late_blight,Potato___Late_Blight,793
D1Q,potato__late_blight,potato,late_blight,Potato__late_blight,365
D1R,potato__rotten,potato,rotten,Potato__Rotten,466
D1S,rice__brown_spot,rice,brown_spot,Rice___Brown_Spot,486
D1S,rice__brown_spot,rice,brown_spot,Rice__brown_spot,321
D1T,rice__healthy,rice,healthy,Rice___Healthy,575
D1T,rice__healthy,rice,healthy,Rice__healthy,464
D1U,rice__hispa,rice,hispa,Rice__hispa,471
D1V,rice__leaf_blast,rice,leaf_blast,Rice___Leaf_Blast,552
D1V,rice__leaf_blast,rice,leaf_blast,Rice__leaf_blast,377
D1W,rice__neck_blast,rice,neck_blast,Rice___Neck_Blast,553
D1W,rice__neck_blast,rice,neck_blast,Rice__neck_blast,385
D1X,soybean__bacterial_blight,soybean,bacterial_blight,Soybean__bacterial_blight,56
D1Y,soybean__caterpillar,soybean,caterpillar,Soybean__caterpillar,613
D1Z,soybean__diabrotica_speciosa,soybean,diabrotica_speciosa,Soybean__diabrotica_speciosa,603
D20,soybean__downy_mildew,soybean,downy_mildew,Soybean__downy_mildew,50
D21,soybean__healthy,soybean,healthy,Soybean__healthy,632
D22,soybean__mosaic_virus,soybean,mosaic_virus,Soybean__mosaic_virus,22
D23,soybean__powdery_mildew,soybean,powdery_mildew,Soybean__powdery_mildew,77
D24,soybean__rust,soybean,rust,Soybean__rust,65
D25,soybean__southern_blight,soybean,southern_blight,Soybean__southern_blight,62
D26,strawberry__healthy,strawberry,healthy,Strawberry__healthy,988
D27,strawberry__leaf_scorch,strawberry,leaf_scorch,Strawberry___leaf_scorch,563
D28,strawberry__rotten,strawberry,rotten,Strawberry__Rotten,564
D29,sugarcane__bacterial_blight,sugarcane,bacterial_blight,Sugarcane_Bacterial_Blight,100
D2A,sugarcane__healthy,sugarcane,healthy,Sugarcane_Healthy,100
D2A,sugarcane__healthy,sugarcane,healthy,Sugarcane__healthy,80
D2B,sugarcane__red_rot,sugarcane,red_rot,Sugarcane_Red_Rot,100
D2B,sugarcane__red_rot,sugarcane,red_rot,Sugarcane__red_rot,71
D2C,sugarcane__red_stripe,sugarcane,red_stripe,Sugarcane__red_stripe,53
D2D,sugarcane__rust,sugarcane,rust,Sugarcane__rust,92
D2E,tea__algal_leaf,tea,algal_leaf,Tea__algal_leaf,339
D2F,tea__anthracnose,tea,anthracnose,Tea__anthracnose,300
D2G,tea__bird_eye_spot,tea,bird_eye_spot,Tea__bird_eye_spot,297
D2H,tea__brown_blight,tea,brown_blight,Tea__brown_blight,339
